
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-08-27 13:42:40 /api/competitions ....................................................................... ~ 4dt
  2026-08-27 13:42:56 /api/content/home-hero ............................................................... ~ 1.99ms
  2026-08-27 13:42:56 /api/content/landing-extras ........................................................ ~ 512.76ms
  2026-08-27 13:42:56 /api/venues ............................................................................. ~ 1dt
  2026-08-27 13:42:56 /api/competitions ....................................................................... ~ 1dt
  2026-08-27 13:42:56 /api/competitions ....................................................................... ~ 1dt
  2026-08-27 13:42:57 /api/competition-types .................................................................. ~ 1dt
  2026-08-27 13:42:58 /api/editions ...................................................................... ~ 508.01ms
  2026-08-27 13:42:58 /api/content/home-hero ............................................................. ~ 506.25ms
  2026-08-27 13:42:59 /api/content/landing-extras ............................................................. ~ 1dt
  2026-08-27 13:42:59 /api/venues ............................................................................. ~ 1dt
  2026-08-27 13:42:59 /api/competitions ....................................................................... ~ 1dt
  2026-08-27 13:43:00 /api/competitions ....................................................................... ~ 1dt
  2026-08-27 13:43:00 /api/competition-types .................................................................. ~ 1dt
  2026-08-27 13:43:01 /api/editions ........................................................................... ~ 1dt
  2026-08-27 13:43:01 /api/content/home-hero ............................................................. ~ 512.19ms
  2026-08-27 13:43:02 /api/content/landing-extras .......................................................... ~ 2.99ms
  2026-08-27 13:43:02 /api/venues ........................................................................ ~ 510.38ms
  2026-08-27 13:43:02 /api/competitions ....................................................................... ~ 1dt
  2026-08-27 13:43:03 /api/competitions .................................................................. ~ 513.81ms
  2026-08-27 13:43:02 /storage/site-content/sponsors/HJwRMAquacyv7EATXHGw70WmTEp685zcdqi0AGUF.jpg ............. ~ 1dt
  2026-08-27 13:43:03 /api/competition-types ............................................................. ~ 519.39ms
  2026-08-27 13:43:04 /api/editions ...................................................................... ~ 518.02ms
  2026-08-27 13:43:04 /api/content/home-hero ............................................................. ~ 509.77ms
  2026-08-27 13:43:04 /api/content/landing-extras ............................................................. ~ 1dt
  2026-08-27 13:43:05 /api/venues ............................................................................. ~ 1dt
  2026-08-27 13:43:05 /api/competitions ....................................................................... ~ 1dt
  2026-08-27 13:43:05 /api/competitions ....................................................................... ~ 1dt
  2026-08-27 13:43:06 /api/competition-types .................................................................. ~ 1dt
  2026-08-27 13:43:06 /api/editions ...................................................................... ~ 510.28ms
  2026-08-27 13:43:02 /storage/site-content/sponsors/Xh2SyV52eJYwrNOfAum4WEcogCnOtK7Tt9UhWfnS.png ............. ~ 5dt
  2026-08-27 13:44:39 /api/login ......................................................................... ~ 512.61ms
  2026-08-27 13:44:39 /api/login .............................................................................. ~ 4dt
  2026-08-27 13:44:43 /api/manage/dashboard .............................................................. ~ 509.23ms
  2026-08-27 13:44:43 /api/manage/notifications ............................................................... ~ 1dt
  2026-08-27 13:44:43 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-27 13:44:44 /api/manage/editions .................................................................... ~ 1dt
  2026-08-27 13:44:44 /api/manage/dashboard ................................................................... ~ 1dt
  2026-08-27 13:44:44 /api/manage/notifications ............................................................... ~ 2dt
  2026-08-27 13:44:46 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-27 13:44:46 /api/manage/editions .................................................................... ~ 1dt
